persistentID,persistentArtist,persistentAlbum,persistentGenre,dateID,Song Title,Album Artist,Album,Genre,Date,Plays (as of date),Skips (as of date),Scrobbles,Length,Date Relaesed,Date Added
2.34E+18,5.64E+18,1.52E+19,5.71E+18,1632451548,The a Team,Ed Sheeran,+,Singer/Songwriter,"Sep 23, 2021 at 10:45:47 PM",3,2,6913749,258,2/7/2010,8/13/2021
2.34E+18,5.64E+18,1.52E+19,5.71E+18,1646204402,The a Team,Ed Sheeran,+,Singer/Songwriter,"Mar 2, 2022 at 2:00:02 AM",3,3,6913749,258,2/7/2010,8/13/2021
2.34E+18,1.75E+18,1.07E+19,1.67E+19,1632451548,A-un,Polkadot Stingray,Nanimono,Rock,"Sep 23, 2021 at 10:45:47 PM",8,2,1848,259,9/20/2019,4/23/2021
2.34E+18,1.75E+18,1.07E+19,1.67E+19,1632727801,A-un,Polkadot Stingray,Nanimono,Rock,"Sep 27, 2021 at 3:30:01 AM",8,3,1848,259,9/20/2019,4/23/2021
2.34E+18,1.75E+18,1.07E+19,1.67E+19,1632987004,A-un,Polkadot Stingray,Nanimono,Rock,"Sep 30, 2021 at 3:30:03 AM",9,3,1848,259,9/20/2019,4/23/2021
2.34E+18,1.75E+18,1.07E+19,1.67E+19,1633505402,A-un,Polkadot Stingray,Nanimono,Rock,"Oct 6, 2021 at 3:30:02 AM",10,3,1848,259,9/20/2019,4/23/2021
2.34E+18,1.75E+18,1.07E+19,1.67E+19,1637827066,A-un,Polkadot Stingray,Nanimono,Rock,"Nov 25, 2021 at 2:57:46 AM",11,3,1848,259,9/20/2019,4/23/2021
2.34E+18,1.75E+18,1.07E+19,1.67E+19,1638693002,A-un,Polkadot Stingray,Nanimono,Rock,"Dec 5, 2021 at 3:30:02 AM",12,3,1848,259,9/20/2019,4/23/2021
2.34E+18,1.75E+18,1.07E+19,1.67E+19,1639623608,A-un,Polkadot Stingray,Nanimono,Rock,"Dec 15, 2021 at 10:00:08 PM",13,3,1848,259,9/20/2019,4/23/2021
2.34E+18,1.75E+18,1.07E+19,1.67E+19,1641285516,A-un,Polkadot Stingray,Nanimono,Rock,"Jan 4, 2022 at 3:38:36 AM",14,3,1848,259,9/20/2019,4/23/2021
2.34E+18,1.75E+18,1.07E+19,1.67E+19,1648971002,A-un,Polkadot Stingray,Nanimono,Rock,"Apr 3, 2022 at 3:30:01 AM",15,3,1848,259,9/20/2019,4/23/2021
2.34E+18,1.75E+18,1.07E+19,1.67E+19,1650871802,A-un,Polkadot Stingray,Nanimono,Rock,"Apr 25, 2022 at 3:30:01 AM",16,3,1848,259,9/20/2019,4/23/2021
5.64E+18,4.77E+18,1.53E+18,1.74E+19,1632451548,"Aaron Burr, Sir",Lin-Manuel Miranda,Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,"Sep 23, 2021 at 10:45:47 PM",7,0,#N/A,157,9/25/2015,3/26/2020
5.64E+18,4.77E+18,1.53E+18,1.74E+19,1636705802,"Aaron Burr, Sir",Lin-Manuel Miranda,Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,"Nov 12, 2021 at 3:30:01 AM",7,1,#N/A,157,9/25/2015,3/26/2020
5.64E+18,4.77E+18,1.53E+18,1.74E+19,1644136201,"Aaron Burr, Sir",Lin-Manuel Miranda,Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,"Feb 6, 2022 at 3:30:01 AM",8,1,#N/A,157,9/25/2015,3/26/2020
2.34E+18,1.71E+19,1.53E+19,1.10E+18,1632451548,Acapella,Karmin,Pulses,Pop,"Sep 23, 2021 at 10:45:47 PM",8,5,527270,199,7/9/2013,3/9/2020
2.34E+18,1.71E+19,1.53E+19,1.10E+18,1648194743,Acapella,Karmin,Pulses,Pop,"Mar 25, 2022 at 3:52:23 AM",9,5,527270,199,7/9/2013,3/9/2020
2.34E+18,1.71E+19,1.53E+19,1.10E+18,1649748601,Acapella,Karmin,Pulses,Pop,"Apr 12, 2022 at 3:30:01 AM",10,5,527270,199,7/9/2013,3/9/2020
2.34E+18,1.71E+19,1.53E+19,1.10E+18,1654759801,Acapella,Karmin,Pulses,Pop,"Jun 9, 2022 at 3:30:01 AM",11,5,527270,199,7/9/2013,3/9/2020
2.34E+18,3.62E+18,1.28E+19,1.10E+18,1632451548,Accidentally In Love,Counting Crows,Films About Ghosts: The Best Of...,Pop,"Sep 23, 2021 at 10:45:47 PM",8,4,3083342,189,5/11/2004,3/2/2020
2.34E+18,3.62E+18,1.28E+19,1.10E+18,1634628604,Accidentally In Love,Counting Crows,Films About Ghosts: The Best Of...,Pop,"Oct 19, 2021 at 3:30:03 AM",9,4,3083342,189,5/11/2004,3/2/2020
2.34E+18,3.62E+18,1.28E+19,1.10E+18,1644309003,Accidentally In Love,Counting Crows,Films About Ghosts: The Best Of...,Pop,"Feb 8, 2022 at 3:30:02 AM",9,5,3083342,189,5/11/2004,3/2/2020
2.34E+18,3.62E+18,1.28E+19,1.10E+18,1645000204,Accidentally In Love,Counting Crows,Films About Ghosts: The Best Of...,Pop,"Feb 16, 2022 at 3:30:04 AM",10,5,3083342,189,5/11/2004,3/2/2020
8.89E+18,1.21E+19,7.37E+18,1.52E+19,1650120293,Achy Breaky Heart,Billy Ray Cyrus,Some Gave All,Country,"Apr 16, 2022 at 10:44:52 AM",0,0,707398,203,3/1/1992,4/17/2022
8.89E+18,1.21E+19,7.37E+18,1.52E+19,1650785404,Achy Breaky Heart,Billy Ray Cyrus,Some Gave All,Country,"Apr 24, 2022 at 3:30:03 AM",1,1,707398,203,3/1/1992,4/17/2022
8.89E+18,1.21E+19,7.37E+18,1.52E+19,1651131005,Achy Breaky Heart,Billy Ray Cyrus,Some Gave All,Country,"Apr 28, 2022 at 3:30:05 AM",2,1,707398,203,3/1/1992,4/17/2022
8.89E+18,1.21E+19,7.37E+18,1.52E+19,1653031802,Achy Breaky Heart,Billy Ray Cyrus,Some Gave All,Country,"May 20, 2022 at 3:30:02 AM",3,1,707398,203,3/1/1992,4/17/2022
2.34E+18,4.77E+18,1.53E+18,1.74E+19,1632451548,The Adams Administration,"Lin-Manuel Miranda, Leslie Odom, Jr., Phillipa Soo, Daveed Diggs & Christopher Jackson",Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,"Sep 23, 2021 at 10:45:47 PM",3,1,#N/A,55,9/25/2015,3/26/2020
2.34E+18,1.18E+19,1.65E+19,1.74E+19,1650094202,The Adams Administration,"Lin-Manuel Miranda, Leslie Odom, Jr., Phillipa Soo, Daveed Diggs & Christopher Jackson",Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,"Apr 16, 2022 at 3:30:02 AM",3,1,#N/A,55,9/25/2015,3/26/2020
2.34E+18,1.26E+19,5.64E+18,1.10E+18,1632451548,Addicted,Kelly Clarkson,Breakaway,Pop,"Sep 23, 2021 at 10:45:47 PM",3,4,1234568,237,11/30/2004,3/2/2020
2.34E+18,1.26E+19,5.64E+18,1.10E+18,1650699004,Addicted,Kelly Clarkson,Breakaway,Pop,"Apr 23, 2022 at 3:30:04 AM",4,4,1234568,237,11/30/2004,3/2/2020
2.34E+18,9.82E+18,8.60E+18,1.67E+19,1632451548,Africa,Toto,Toto IV,Rock,"Sep 23, 2021 at 10:45:47 PM",0,4,9893847,295,4/8/1982,3/18/2020
2.34E+18,9.82E+18,8.60E+18,1.67E+19,1632641401,Africa,Toto,Toto IV,Rock,"Sep 26, 2021 at 3:30:01 AM",0,5,9893847,295,4/8/1982,3/18/2020
2.34E+18,9.82E+18,8.60E+18,1.67E+19,1644827403,Africa,Toto,Toto IV,Rock,"Feb 14, 2022 at 3:30:02 AM",1,5,9893847,295,4/8/1982,3/18/2020
2.34E+18,4.42E+18,1.46E+19,1.10E+18,1632451548,Afterglow,Taylor Swift,Lover,Pop,"Sep 23, 2021 at 10:45:47 PM",13,0,5003000,223,8/23/2019,3/2/2020
2.34E+18,4.42E+18,1.46E+19,1.10E+18,1648884602,Afterglow,Taylor Swift,Lover,Pop,"Apr 2, 2022 at 3:30:01 AM",14,0,5003000,223,8/23/2019,3/2/2020
2.34E+18,4.42E+18,1.46E+19,1.10E+18,1648971002,Afterglow,Taylor Swift,Lover,Pop,"Apr 3, 2022 at 3:30:01 AM",15,0,5003000,223,8/23/2019,3/2/2020
5.64E+18,1.75E+18,2.90E+18,1.10E+18,1632451548,Agenda,Emma Blackery,Villains,Pop,"Sep 23, 2021 at 10:45:47 PM",7,2,35652,196,8/31/2018,4/29/2020
5.64E+18,1.75E+18,2.90E+18,1.10E+18,1638693002,Agenda,Emma Blackery,Villains,Pop,"Dec 5, 2021 at 3:30:02 AM",7,3,35652,196,8/31/2018,4/29/2020
5.64E+18,1.75E+18,2.90E+18,1.10E+18,1654408802,Agenda,Emma Blackery,Villains,Pop,"Jun 5, 2022 at 2:00:01 AM",8,3,35652,196,8/31/2018,4/29/2020
2.34E+18,1.12E+19,1.46E+18,5.13E+18,1632451548,Ain't It Fun,Paramore,Paramore,Alternative,"Sep 23, 2021 at 10:45:47 PM",16,1,5276562,297,4/5/2013,3/3/2020
